         distance[pc] =    137.00000000000000     
  inclination[degree] =    37.500000000000000     
      number of lines =            7
      number of velos =          152

 line#01  OI         002->001 SYS=04  lam =   63.18367mic  nu =   4744.77749GHz
    line flux [W/m^2] =   4.07131679169109019E-017
    cont flux    [Jy] =    22.470086144629906     
 velo[km/s]      flux[Jy]     fconv[Jy]
  1.091E+01  2.512551E+01  2.512551E+01
  1.117E+01  2.494660E+01  2.494660E+01
  1.143E+01  2.477477E+01  2.477477E+01
  1.170E+01  2.461883E+01  2.461883E+01
  1.196E+01  2.447241E+01  2.447241E+01
  1.223E+01  2.433505E+01  2.433505E+01
  1.250E+01  2.421193E+01  2.421193E+01
  1.278E+01  2.408959E+01  2.408959E+01
  1.305E+01  2.397768E+01  2.397768E+01
  1.333E+01  2.386707E+01  2.386707E+01
  1.361E+01  2.376480E+01  2.376480E+01
  1.390E+01  2.366680E+01  2.366680E+01
  1.419E+01  2.357582E+01  2.357582E+01
  1.448E+01  2.349037E+01  2.349037E+01
  1.478E+01  2.341359E+01  2.341359E+01
  1.508E+01  2.334049E+01  2.334049E+01
  1.538E+01  2.327854E+01  2.327854E+01
  1.569E+01  2.322061E+01  2.322061E+01
  1.601E+01  2.316101E+01  2.316101E+01
  1.633E+01  2.311475E+01  2.311475E+01
  1.666E+01  2.306481E+01  2.306481E+01
  1.700E+01  2.301852E+01  2.301852E+01
  1.735E+01  2.298349E+01  2.298349E+01
  1.771E+01  2.293762E+01  2.293762E+01
  1.808E+01  2.290527E+01  2.290527E+01
  1.848E+01  2.286983E+01  2.286983E+01
  1.890E+01  2.283387E+01  2.283387E+01
  1.937E+01  2.280265E+01  2.280265E+01
  2.000E+01  2.276333E+01  2.276333E+01

 line#02  OI         003->002 SYS=04  lam =  145.52544mic  nu =   2060.06909GHz
    line flux [W/m^2] =   8.94165165846669271E-019
    cont flux    [Jy] =    12.863792618008521     
 velo[km/s]      flux[Jy]     fconv[Jy]
  1.000E+99  1.286379E+01  1.286379E+01
 -2.000E+01  1.288853E+01  1.288853E+01
 -1.937E+01  1.289248E+01  1.289248E+01
 -1.890E+01  1.289544E+01  1.289544E+01
 -1.848E+01  1.289900E+01  1.289900E+01
 -1.808E+01  1.290241E+01  1.290241E+01
 -1.771E+01  1.290559E+01  1.290559E+01
 -1.735E+01  1.291028E+01  1.291028E+01
 -1.700E+01  1.291300E+01  1.291300E+01
 -1.666E+01  1.291793E+01  1.291793E+01
 -1.633E+01  1.292111E+01  1.292111E+01
 -1.601E+01  1.292558E+01  1.292558E+01
 -1.569E+01  1.292971E+01  1.292971E+01
 -1.538E+01  1.293402E+01  1.293402E+01
 -1.508E+01  1.294028E+01  1.294028E+01
 -1.478E+01  1.294453E+01  1.294453E+01
 -1.448E+01  1.295129E+01  1.295129E+01
 -1.419E+01  1.295734E+01  1.295734E+01
 -1.390E+01  1.296422E+01  1.296422E+01
 -1.361E+01  1.297105E+01  1.297105E+01
 -1.333E+01  1.297834E+01  1.297834E+01
 -1.305E+01  1.298616E+01  1.298616E+01
 -1.278E+01  1.299261E+01  1.299261E+01
 -1.250E+01  1.300057E+01  1.300057E+01
 -1.223E+01  1.300746E+01  1.300746E+01
 -1.196E+01  1.301552E+01  1.301552E+01
 -1.170E+01  1.302378E+01  1.302378E+01
 -1.143E+01  1.303331E+01  1.303331E+01
 -1.117E+01  1.304342E+01  1.304342E+01
 -1.091E+01  1.305333E+01  1.305333E+01
 -1.065E+01  1.306496E+01  1.306496E+01
 -1.039E+01  1.307661E+01  1.307661E+01
 -1.014E+01  1.309065E+01  1.309065E+01
 -9.882E+00  1.310501E+01  1.310501E+01
 -9.630E+00  1.312113E+01  1.312113E+01
 -9.379E+00  1.313686E+01  1.313686E+01
 -9.130E+00  1.315447E+01  1.315447E+01
 -8.882E+00  1.317219E+01  1.317219E+01
 -8.636E+00  1.319200E+01  1.319200E+01
 -8.391E+00  1.321023E+01  1.321023E+01
 -8.147E+00  1.322862E+01  1.322862E+01
 -7.904E+00  1.324674E+01  1.324674E+01
 -7.663E+00  1.326630E+01  1.326630E+01
 -7.423E+00  1.328472E+01  1.328472E+01
 -7.184E+00  1.330015E+01  1.330015E+01
 -6.946E+00  1.331242E+01  1.331242E+01
 -6.709E+00  1.332319E+01  1.332319E+01
 -6.473E+00  1.333304E+01  1.333304E+01
 -6.239E+00  1.334404E+01  1.334404E+01
 -6.005E+00  1.335500E+01  1.335500E+01
 -5.772E+00  1.336347E+01  1.336347E+01
 -5.540E+00  1.337013E+01  1.337013E+01
 -5.309E+00  1.337563E+01  1.337563E+01
 -5.079E+00  1.337748E+01  1.337748E+01
 -4.850E+00  1.337483E+01  1.337483E+01
 -4.622E+00  1.336792E+01  1.336792E+01
 -4.395E+00  1.335740E+01  1.335740E+01
 -4.168E+00  1.334398E+01  1.334398E+01
 -3.942E+00  1.333277E+01  1.333277E+01
